"Calories","TotalSteps","TotalDistance","LoggedActivitiesDistance","VeryActiveDistance","ModeratelyActiveDistance","LightActiveDistance","SedentaryActiveDistance","VeryActiveMinutes","FairlyActiveMinutes","LightlyActiveMinutes","SedentaryMinutes","TotalSleepRecords","TotalMinutesAsleep","TotalTimeInBed","TimeTakenToSleep"
3846,18213,13.2399997711182,0,0.629999995231628,3.14000010490417,9.46000003814697,0,9,71,402,816,1,124,142,18
2580,3758,2.73000001907349,0,0.0700000002980232,0.310000002384186,2.34999990463257,0,1,7,148,682,1,796,961,165
2987,6724,4.8899998664856,0,0,0,4.88000011444092,0,0,0,295,991,1,137,154,17
1725,3844,2.53999996185303,0,0,0,2.53999996185303,0,0,0,176,527,1,644,961,317
1763,4014,2.67000007629395,0,0,0,2.65000009536743,0,0,0,184,218,1,722,961,239
1541,2573,1.70000004768372,0,0,0.259999990463257,1.45000004768372,0,0,7,75,585,1,590,961,371
2220,678,0.469999998807907,0,0,0,0.469999998807907,0,0,0,55,734,3,750,775,25
2151,356,0.25,0,0,0,0.25,0,0,0,32,986,1,398,422,24
2221,980,0.680000007152557,0,0,0,0.680000007152557,0,0,0,51,941,2,475,499,24
2638,3761,2.59999990463257,0,0,0,2.59999990463257,0,0,0,192,1058,1,296,315,19
2351,1675,1.1599999666214,0,0,0,1.1599999666214,0,0,0,95,1167,1,166,178,12
1459,4414,2.74000000953674,0,0.189999997615814,0.349999994039536,2.20000004768372,0,3,8,181,706,1,503,546,43
1521,4993,3.09999990463257,0,0,0,3.09999990463257,0,0,0,238,663,1,531,565,34
1431,3335,2.0699999332428,0,0,0,2.04999995231628,0,0,0,197,653,1,545,568,23
1444,3821,2.36999988555908,0,0,0,2.36999988555908,0,0,0,188,687,1,523,573,50
1373,2547,1.58000004291534,0,0,0,1.58000004291534,0,0,0,150,728,1,524,567,43
1214,838,0.519999980926514,0,0,0,0.519999980926514,0,0,0,60,1053,1,437,498,61
1356,2424,1.5,0,0,0,1.5,0,0,0,141,785,1,498,540,42
1667,7222,4.48000001907349,0,0,0,4.48000001907349,0,0,0,327,623,1,461,510,49
1370,2467,1.52999997138977,0,0,0,1.52999997138977,0,0,0,153,749,1,477,514,37
1399,2915,1.80999994277954,0,0,0,1.80999994277954,0,0,0,162,712,1,520,545,25
1916,12357,7.71000003814697,0,0,0,7.71000003814697,0,0,0,432,458,1,522,554,32
1401,3490,2.16000008583069,0,0,0,2.16000008583069,0,0,0,164,704,1,555,591,36
1576,6017,3.73000001907349,0,0,0,3.73000001907349,0,0,0,260,821,1,506,531,25
1593,6088,3.76999998092651,0,0,0,3.76999998092651,0,0,0,286,586,1,508,545,37
1649,6375,3.95000004768372,0,0,0,3.95000004768372,0,0,0,331,626,1,513,545,32
1692,7604,4.71000003814697,0,0,0,4.71000003814697,0,0,0,352,492,1,490,510,20
1506,4729,2.9300000667572,0,0,0,2.9300000667572,0,0,0,233,594,1,573,607,34
1447,3609,2.27999997138977,0,0,0,2.27999997138977,0,0,0,191,716,1,527,546,19
1690,7018,4.34999990463257,0,0,0,4.34999990463257,0,0,0,355,716,1,511,543,32
